NO_COMMODITIES,data,ano,mes,dia,Var_mensal
"Minerais, Minérios E Metais",2000-01-01,2000,1,1,
"Minerais, Minérios E Metais",2000-02-01,2000,2,1,3.1
"Minerais, Minérios E Metais",2000-03-01,2000,3,1,0.13
"Minerais, Minérios E Metais",2000-04-01,2000,4,1,0.19
"Minerais, Minérios E Metais",2000-05-01,2000,5,1,-1.26
"Minerais, Minérios E Metais",2000-06-01,2000,6,1,-1.07
"Minerais, Minérios E Metais",2000-07-01,2000,7,1,0.36
"Minerais, Minérios E Metais",2000-08-01,2000,8,1,1.06
"Minerais, Minérios E Metais",2000-09-01,2000,9,1,0.92
"Minerais, Minérios E Metais",2000-10-01,2000,10,1,-0.46
"Minerais, Minérios E Metais",2000-11-01,2000,11,1,-0.03
"Minerais, Minérios E Metais",2000-12-01,2000,12,1,-1.22
"Minerais, Minérios E Metais",2001-01-01,2001,1,1,1.29
"Minerais, Minérios E Metais",2001-02-01,2001,2,1,-0.21
"Minerais, Minérios E Metais",2001-03-01,2001,3,1,-0.35
"Minerais, Minérios E Metais",2001-04-01,2001,4,1,-1.82
"Minerais, Minérios E Metais",2001-05-01,2001,5,1,-0.12
"Minerais, Minérios E Metais",2001-06-01,2001,6,1,0.69
"Minerais, Minérios E Metais",2001-07-01,2001,7,1,-0.23
"Minerais, Minérios E Metais",2001-08-01,2001,8,1,-1.23
"Minerais, Minérios E Metais",2001-09-01,2001,9,1,-0.65
"Minerais, Minérios E Metais",2001-10-01,2001,10,1,-1.23
"Minerais, Minérios E Metais",2001-11-01,2001,11,1,-2.45
"Minerais, Minérios E Metais",2001-12-01,2001,12,1,-0.92
"Minerais, Minérios E Metais",2002-01-01,2002,1,1,1.16
"Minerais, Minérios E Metais",2002-02-01,2002,2,1,0.67
"Minerais, Minérios E Metais",2002-03-01,2002,3,1,0.91
"Minerais, Minérios E Metais",2002-04-01,2002,4,1,-0.76
"Minerais, Minérios E Metais",2002-05-01,2002,5,1,-0.18
"Minerais, Minérios E Metais",2002-06-01,2002,6,1,-1.63
"Minerais, Minérios E Metais",2002-07-01,2002,7,1,0.97
"Minerais, Minérios E Metais",2002-08-01,2002,8,1,-0.65
"Minerais, Minérios E Metais",2002-09-01,2002,9,1,-1.85
"Minerais, Minérios E Metais",2002-10-01,2002,10,1,0.73
"Minerais, Minérios E Metais",2002-11-01,2002,11,1,1.93
"Minerais, Minérios E Metais",2002-12-01,2002,12,1,-0.34
"Minerais, Minérios E Metais",2003-01-01,2003,1,1,0.07
"Minerais, Minérios E Metais",2003-02-01,2003,2,1,1.65
"Minerais, Minérios E Metais",2003-03-01,2003,3,1,-0.28
"Minerais, Minérios E Metais",2003-04-01,2003,4,1,-1.2
"Minerais, Minérios E Metais",2003-05-01,2003,5,1,0.9
"Minerais, Minérios E Metais",2003-06-01,2003,6,1,-0.0
"Minerais, Minérios E Metais",2003-07-01,2003,7,1,2.43
"Minerais, Minérios E Metais",2003-08-01,2003,8,1,4.06
"Minerais, Minérios E Metais",2003-09-01,2003,9,1,5.9
"Minerais, Minérios E Metais",2003-10-01,2003,10,1,4.65
"Minerais, Minérios E Metais",2003-11-01,2003,11,1,-6.96
"Minerais, Minérios E Metais",2003-12-01,2003,12,1,0.96
"Minerais, Minérios E Metais",2004-01-01,2004,1,1,3.36
